ProjectID,CompanyName,ProjectTitle,BME,CMPEN,CMPSC,DS,ED,EE,EGEE,ESC,IE,MATSE,ME,Confidentiality,IP,CourseTime,CourseName,PhysicalPrototype,
12fb7a25-1fad-4,John Crane,Power consumption test rig,0,0,0,0,0,2,0,0,0,0,1,1,0,T R 11:15 am-1:10 pm,M E 440.005,1,
24d8b7da-dec8-4,John Deere,Mowing Damage Detection Using Computer Vision,0,2,1,0,0,3,0,0,0,0,0,1,1,T R 8:00 am-9:55 am,CMPSC 483.001,0,
d6d33271-1954-4,King Krunch Gourmet Brands,King Krunch Gourmet Brands,0,0,0,0,0,3,0,0,1,0,2,1,1,T R 8:00 am-9:55 am,I E 480W.001,0,
8abcb3cc-d22e-4,Lion Turbine Company,High Pressure Reciprocating Piston Rod Pneumatic Air Seal,0,0,0,0,0,0,0,0,2,3,1,1,1,T R 11:15 am-1:10 pm,M E 440.003,1,
2e61a1d2-79e0-4,Lippert Components Inc,Next Generation RV - Tow-able camper leveling system,0,1,0,0,3,0,0,0,0,0,2,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
2e5ac81e-d455-4,Lockheed Martin Corporation 1,Electric Aircraft Conceptual Design,0,3,0,0,0,1,0,0,0,0,2,0,0,T R 11:15 am-1:10 pm,E E 403W.002,0,
f22c3dd4-b660-4,Lockheed Martin Corporation 2,Lockheed Martin: AI/ML SAR – Artificial Intelligence &amp; Machine Learning Search and Rescue Mission,0,3,1,2,0,3,0,0,0,0,0,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
101a1ecf-67a6-4,Manitowoc Cranes,Ergonomic Seat Placement in a Crane Cabin,3,0,0,0,0,0,0,0,1,0,2,1,1,T R 8:00 am-9:55 am,I E 480W.001,1,
d71210b6-be8b-4,Medtronic,Modular Septal Heart Wall and Conduction System,1,0,0,0,0,3,0,0,3,3,2,1,1,T R 8:00 am-9:55 am,BME 450.001,1,
14f5ea15-8837-4,Mid Atlantic Technical and Executive Consulting LLC,Hands Free Bathroom Stall Latch System,0,0,0,0,0,0,0,3,2,0,1,0,1,T R 8:00 am-9:55 am,M E 440.001,1,
ec51e970-6098-4,Monroe Satkovich,Chair for child with Cerebral Palsy,2,0,0,0,0,0,0,0,3,0,1,0,0,T R 8:00 am-9:55 am,BME 450.001,1,
ccf22071-7e80-4,Morgan Advanced Materials,Computational Modeling of Electric Vacuum Pumps,0,0,0,0,0,0,0,0,0,2,1,1,1,T R 11:15 am-1:10 pm,M E 440.003,0,
32d2be21-cbd0-4,NCRMA AND Atlas Performance Group,Ergonomic analysis of workers during cannabis cultivation activities to reduce musculoskeletal injury,2,3,0,0,0,0,0,0,1,0,3,1,1,T R 8:00 am-9:55 am,I E 480W.001,0,
0505d1da-a842-4,Penn State Applied Research Laboratory,Sea Air and Land Challenge Web Update and Marketing Support,0,0,1,0,0,3,0,0,0,0,2,0,1,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
6c629633-cd26-41,Penn State Milton S. Hershey Medical Center 1,Time Driven Activity Based Costing Dashboard - Team 1,0,0,1,2,0,0,0,0,0,0,0,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
6c629633-cd26-4,Penn State Milton S. Hershey Medical Center 2,Time Driven Activity Based Costing Dashboard - Team 2,0,0,2,1,0,0,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
831194c8-e2f2-4,Pennsylvania Horse Racing Association,PA Horse Racing Association Virtual Reality Simulator,0,3,0,0,0,2,0,0,0,0,1,0,0,T R 8:00 am-9:55 am,M E 440.001,1,
682f2d38-86d4-4,PSU Architectural Eng Dept - Responsive and Adaptive Infrastructure Materials Research Group,Engineering Design of a Modern Electrochemical Migration Testing Device for Infrastructure and Building Materials,0,0,0,0,0,2,0,0,0,1,3,0,0,T R 11:15 am-1:10 pm,MATSE 493,0,
6e278412-e732-4,PSU Architectural Eng Dept 2,Multiphysics Modelling for Electro-migration in Saturated Porous Media,0,0,2,3,0,0,0,3,0,1,3,0,0,T R 11:15 am-1:10 pm,MATSE 493,1,
c7799778-56e4-4,PSU ARL 1,Coordinating Cyber Community Protection Operation (C-3PO),0,2,1,0,0,3,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,CMPSC 483.001,0,
77ef8261-876f-4,PSU ARL 2,Firmware and Electronics Upgrades for a Directional Nozzle 3D Printer,0,1,0,0,0,2,0,0,0,0,3,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
fbb2c613-e03c-4,PSU Center for Biodevices,Design of test fixtures for protective devices used in endoscopic skull surgery,2,0,0,0,0,0,0,0,0,0,1,1,1,T R 8:00 am-9:55 am,M E 440.002,1,
089e0240-6c1b-4,PSU Chemical Eng. Dept.,Food Security Challenge - Plant Micropropagation Bioreactor that is Low-cost and Easily Deployed,0,3,0,0,0,2,0,0,3,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
30622905-15d8-4,PSU College of Medicine - Pediatrics,Novel Application of Model Based Systems Engineering (MBSE) to Healthcare II,3,0,2,0,0,0,0,0,1,0,0,0,0,T R 8:00 am-9:55 am,I E 480W.001,0,
11cb5989-0c5e-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 1,Fabrication of a three - terminal neuromorphic material test bed,0,0,0,0,0,1,0,0,0,3,2,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
7add3a74-85a1-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 2,Snap-through facade design: Exploring bi-stability for kinetic building shadings,0,0,0,0,0,0,0,0,3,2,1,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
280b1219-7956-4,PSU Convergence Center for Living Multifunctional Material Systems (LiMC2) 3,Printing of bio-composites using Direct Ink Writing,0,3,0,0,0,0,0,0,0,1,2,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
35a5e24e-6607-4,PSU Engineering Leadership Development 1,Automated Contact Management,0,0,2,1,0,0,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
1901f2a1-4910-4,PSU Engineering Leadership Development 2,Open Repository for Data Sciences,0,0,2,1,0,0,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
8556ad1e-7e96-4,PSU Human Development and Family Studies,Assessing student skills from unstructured data,0,0,2,1,0,0,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
3a365436-7456-4,PSU Human Powered Vehicle (HPV),Human Powered Vehicle Design,2,0,0,0,0,0,0,0,3,0,1,0,0,T R 8:00 am-9:55 am,M E 440.001,1,
c0e723d0-dacd-4,PSU Industrial &amp; Manufacturing Eng Dept.,Take Back of Prescribed Opioids,3,2,0,0,0,0,0,0,1,0,3,0,0,T R 8:00 am-9:55 am,I E 480W.001,1,
83f39d62-05bc-4,PSU Interfacial Phenomena Laboratory (IPHEL) 1,Design of a Test Bench for Thermal Management Devices for Electronics Part 1: Thermo-mechanical design,0,3,0,0,0,2,0,0,0,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.003,1,
90745487-3ff7-4,PSU Interfacial Phenomena Laboratory (IPHEL) 2,Design of a Test Bench for Thermal Management Devices for Electronics Part 2: Circuit design and Control,0,2,0,0,0,1,0,0,0,0,3,0,0,T R 11:15 am-1:10 pm,E E 403W.002,1,
a9353913-a2ee-4,PSU IST,Exploring relationships between mobility and COVID-19 related deaths,2,0,0,1,0,0,0,0,0,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
3d5cd305-e67d-4,PSU Manufacturing and Sterilization for COVID-19 (MASC),Improving estimates of PPE stocks,0,0,0,1,0,0,0,0,2,0,0,0,0,T R 8:00 am-9:55 am,DS 440.001,0,
0244ac7e-2d65-4,PSU Mechanical Eng. Dept 1,Testbed for Hybrid-Electric Aircraft with Distributed Propulsion,0,3,0,0,0,2,0,0,0,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.003,1,
b7be8ef6-39d2-4,PSU Mechanical Eng. Dept 2,Design Optimization of an Undergraduate ME Lab for Power Generation,0,2,0,0,0,3,0,0,0,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.003,1,
bcc3923e-6dfd-4,PSU School of Visual Arts (SOVA),DIY Dye Cart 2.0,0,0,0,0,0,0,0,0,0,2,1,0,0,T R 8:00 am-9:55 am,M E 440.002,1,
2fde4ae8-8594-4,PSU SEDTAPP - Law Policy and Engineering (LPE),The UN SDGs and NAE Grand Challenges - Developing Micro-credentials for Capacity Building in Sustainability,3,3,3,3,3,3,0,0,2,3,1,0,1,T R 8:00 am-9:55 am,EDSGN 460,0,
86cab326-9ab5-4,PSU SEDTAPP and the Epic Foundation,Chatbot Support for Complex Engineering Design through Slack,0,0,1,0,0,0,0,0,0,0,0,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
2f393e6c-77ef-4,PSU SEDTAPP with Rexnord,Design of a Versatile Cloud Computing Platform for Additive Manufacturing Analysis,0,0,1,0,0,0,0,0,3,3,2,0,0,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
0f407669-3947-4,PSU Service Enterprise Engineering (SEE 360) 1,Occupancy Analytics Team 1,0,1,3,0,0,3,0,0,2,0,0,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
32455a55-cc2e-4,PSU Service Enterprise Engineering (SEE 360) 3,System Health Monitoring,3,0,0,0,0,0,0,0,1,0,2,0,0,T R 8:00 am-9:55 am,I E 480W.001,0,
0bc325a5-f2c2-4,PSU Service Enterprise Engineering (SEE 360) 4,Designing Sustainable Food Supply Chains,0,0,2,3,0,0,0,0,1,0,0,0,0,T R 8:00 am-9:55 am,I E 480W.001,0,
e94dd318-c2ba-4,PSU Service Enterprise Engineering (SEE 360) 5,Organ Allocation/Distribution,3,0,1,0,0,0,0,0,2,0,0,0,0,T R 8:00 am-9:55 am,CMPSC 483.001,0,
6b4efea4-2bba-4,Quaker Houghton,Metalworking Fluid Application Effects in High Speed Turning of Compacted Graphite Iron &amp; 80-55-06 Ductile Iron,0,0,0,0,0,0,0,0,1,2,0,0,1,T R 8:00 am-9:55 am,I E 480W.001,1,
877334da-90a3-4,QuantaVerse LLC,Enhanced Architecture for QuantaVerse AI Financial Crime Risk Models.,0,3,1,2,0,0,0,0,0,0,0,1,1,T R 8:00 am-9:55 am,CMPSC 483.001,0,
2e9d4681-157f-42,Shell 1,Eco-Marathon Urban Concept Car - Team 1,0,0,0,0,0,2,0,0,3,0,1,0,0,T R 8:00 am-9:55 am,M E 440.001,1,
2e9d4681-157f-4,Shell 2,Eco-Marathon Urban Concept Car - Team 2,0,0,0,0,0,2,0,0,3,0,1,0,0,T R 8:00 am-9:55 am,M E 440.001,1,
f7f3892d-cfbe-4,Siemens Industry Inc.,IOT2040/LR100 Bluetooth Connectivity,0,1,2,0,0,3,0,0,0,0,0,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
3a9e0751-fce4-4,The Boeing Company 1,Aircraft Gearbox Lubrication Passage Inspection,0,2,0,0,0,3,0,0,0,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
0f43d8cd-db03-4,The Boeing Company 2,Electric Aircraft Conceptual Design,0,3,0,0,0,2,0,0,0,3,1,0,0,T R 11:15 am-1:10 pm,E E 403W.002,0,
2b06edc0-f592-4,Westinghouse Electric Company LLC,Structural Analysis Post-Processing Java Tool,0,0,1,0,0,0,0,0,0,0,2,1,1,T R 11:15 am-1:10 pm,CMPSC 483.002,0,
0861c740-09bb-4,Westinghouse Electric Company LLC,Neutron Capture Generated Delta Radiation Cancer Treatment Method,3,0,0,0,0,0,0,0,0,1,2,1,1,T R 11:15 am-1:10 pm,MATSE 493,1,
e0f1307f-9fa7-4,Witches&#39; Hollow - Mad McIntosh Cider,Mad McIntosh Cider Installation/Startup,0,0,0,0,0,0,0,0,1,0,2,0,0,T R 8:00 am-9:55 am,I E 480W.001,0,
